INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-12-01T18:00:00-00:00,2017-12-01T19:00:00-00:00,2017-12-01,11,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,26.40818,1
2017-12-02T02:00:00-00:00,2017-12-02T03:00:00-00:00,2017-12-01,19,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,43.62726,1
2017-12-01T15:00:00-00:00,2017-12-01T16:00:00-00:00,2017-12-01,8,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,49.50199,1
2017-12-01T21:00:00-00:00,2017-12-01T22:00:00-00:00,2017-12-01,14,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,23.30848,1
2017-12-02T05:00:00-00:00,2017-12-02T06:00:00-00:00,2017-12-01,22,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,38.76436,1
2017-12-02T07:00:00-00:00,2017-12-02T08:00:00-00:00,2017-12-01,24,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,33.11157,1
2017-12-01T08:00:00-00:00,2017-12-01T09:00:00-00:00,2017-12-01,1,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,31.24451,1
2017-12-01T16:00:00-00:00,2017-12-01T17:00:00-00:00,2017-12-01,9,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,33.85337,1
2017-12-01T17:00:00-00:00,2017-12-01T18:00:00-00:00,2017-12-01,10,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,28.5842,1
2017-12-02T04:00:00-00:00,2017-12-02T05:00:00-00:00,2017-12-01,21,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,44.65928,1
2017-12-02T06:00:00-00:00,2017-12-02T07:00:00-00:00,2017-12-01,23,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,38.83745,1
2017-12-01T14:00:00-00:00,2017-12-01T15:00:00-00:00,2017-12-01,7,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,45.52855,1
2017-12-02T00:00:00-00:00,2017-12-02T01:00:00-00:00,2017-12-01,17,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,46.60763,1
2017-12-01T09:00:00-00:00,2017-12-01T10:00:00-00:00,2017-12-01,2,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,28.7606,1
2017-12-01T10:00:00-00:00,2017-12-01T11:00:00-00:00,2017-12-01,3,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,30.03542,1
2017-12-01T12:00:00-00:00,2017-12-01T13:00:00-00:00,2017-12-01,5,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,32.05037,1
2017-12-01T13:00:00-00:00,2017-12-01T14:00:00-00:00,2017-12-01,6,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,40.92928,1
2017-12-02T03:00:00-00:00,2017-12-02T04:00:00-00:00,2017-12-01,20,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,41.90225,1
2017-12-01T20:00:00-00:00,2017-12-01T21:00:00-00:00,2017-12-01,13,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,29.79248,1
2017-12-01T22:00:00-00:00,2017-12-01T23:00:00-00:00,2017-12-01,15,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,26.1675,1
2017-12-01T23:00:00-00:00,2017-12-02T00:00:00-00:00,2017-12-01,16,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,34.06469,1
